task,episode,step,colliding_geom
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",3,196,table_collision
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",3,198,table_collision
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",3,199,table_collision
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",3,201,table_collision
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",3,202,table_collision
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",3,203,table_collision
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",37,133,akita_black_bowl_1_g17
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",37,133,akita_black_bowl_1_g22
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",37,133,akita_black_bowl_1_g18
"Task(name='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl next to the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.pruned_init')",37,134,akita_black_bowl_1_g19
